,Mouse ID,Drug Regimen_x,Sex_x,Age_months_x,Weight (g)_x,Timepoint_x,Tumor Volume (mm3)_x,Metastatic Sites_x,Drug Regimen_y,Sex_y,Age_months_y,Weight (g)_y,Timepoint_y,Tumor Volume (mm3)_y,Metastatic Sites_y
0,k403,Ramicane,Male,21,16,0,45.0,0,Ramicane,Male,21.0,16.0,45.0,22.05012627,1.0
1,k403,Ramicane,Male,21,16,5,38.82589807,0,Ramicane,Male,21.0,16.0,45.0,22.05012627,1.0
2,k403,Ramicane,Male,21,16,10,35.01427146,1,Ramicane,Male,21.0,16.0,45.0,22.05012627,1.0
3,k403,Ramicane,Male,21,16,15,34.22399174,1,Ramicane,Male,21.0,16.0,45.0,22.05012627,1.0
4,k403,Ramicane,Male,21,16,20,32.99772858,1,Ramicane,Male,21.0,16.0,45.0,22.05012627,1.0
5,k403,Ramicane,Male,21,16,25,33.46457735,1,Ramicane,Male,21.0,16.0,45.0,22.05012627,1.0
6,k403,Ramicane,Male,21,16,30,31.09949753,1,Ramicane,Male,21.0,16.0,45.0,22.05012627,1.0
7,k403,Ramicane,Male,21,16,35,26.54699343,1,Ramicane,Male,21.0,16.0,45.0,22.05012627,1.0
8,k403,Ramicane,Male,21,16,40,24.36550471,1,Ramicane,Male,21.0,16.0,45.0,22.05012627,1.0
9,k403,Ramicane,Male,21,16,45,22.05012627,1,Ramicane,Male,21.0,16.0,45.0,22.05012627,1.0
10,s185,Capomulin,Female,3,17,0,45.0,0,Capomulin,Female,3.0,17.0,45.0,23.34359787,1.0
11,s185,Capomulin,Female,3,17,5,43.87849569,0,Capomulin,Female,3.0,17.0,45.0,23.34359787,1.0
12,s185,Capomulin,Female,3,17,10,37.61494768,0,Capomulin,Female,3.0,17.0,45.0,23.34359787,1.0
13,s185,Capomulin,Female,3,17,15,38.17723195,0,Capomulin,Female,3.0,17.0,45.0,23.34359787,1.0
14,s185,Capomulin,Female,3,17,20,36.86687576,0,Capomulin,Female,3.0,17.0,45.0,23.34359787,1.0
15,s185,Capomulin,Female,3,17,25,33.94994037,0,Capomulin,Female,3.0,17.0,45.0,23.34359787,1.0
16,s185,Capomulin,Female,3,17,30,32.95967078,1,Capomulin,Female,3.0,17.0,45.0,23.34359787,1.0
17,s185,Capomulin,Female,3,17,35,28.32853059,1,Capomulin,Female,3.0,17.0,45.0,23.34359787,1.0
18,s185,Capomulin,Female,3,17,40,25.47214326,1,Capomulin,Female,3.0,17.0,45.0,23.34359787,1.0
19,s185,Capomulin,Female,3,17,45,23.34359787,1,Capomulin,Female,3.0,17.0,45.0,23.34359787,1.0
20,x401,Capomulin,Female,16,15,0,45.0,0,Capomulin,Female,16.0,15.0,45.0,28.48403281,0.0
21,x401,Capomulin,Female,16,15,5,45.47375302,0,Capomulin,Female,16.0,15.0,45.0,28.48403281,0.0
22,x401,Capomulin,Female,16,15,10,39.11389068,0,Capomulin,Female,16.0,15.0,45.0,28.48403281,0.0
23,x401,Capomulin,Female,16,15,15,39.77625003,0,Capomulin,Female,16.0,15.0,45.0,28.48403281,0.0
24,x401,Capomulin,Female,16,15,20,36.06583471,0,Capomulin,Female,16.0,15.0,45.0,28.48403281,0.0
25,x401,Capomulin,Female,16,15,25,36.61712031,0,Capomulin,Female,16.0,15.0,45.0,28.48403281,0.0
26,x401,Capomulin,Female,16,15,30,32.91529186,0,Capomulin,Female,16.0,15.0,45.0,28.48403281,0.0
27,x401,Capomulin,Female,16,15,35,30.20682488,0,Capomulin,Female,16.0,15.0,45.0,28.48403281,0.0
28,x401,Capomulin,Female,16,15,40,28.16739732,0,Capomulin,Female,16.0,15.0,45.0,28.48403281,0.0
29,x401,Capomulin,Female,16,15,45,28.48403281,0,Capomulin,Female,16.0,15.0,45.0,28.48403281,0.0
30,m601,Capomulin,Male,22,17,0,45.0,0,Capomulin,Male,22.0,17.0,45.0,28.43096411,1.0
31,m601,Capomulin,Male,22,17,5,41.40859145,1,Capomulin,Male,22.0,17.0,45.0,28.43096411,1.0
32,m601,Capomulin,Male,22,17,10,36.82536664,1,Capomulin,Male,22.0,17.0,45.0,28.43096411,1.0
33,m601,Capomulin,Male,22,17,15,35.46461175,1,Capomulin,Male,22.0,17.0,45.0,28.43096411,1.0
34,m601,Capomulin,Male,22,17,20,34.255731700000005,1,Capomulin,Male,22.0,17.0,45.0,28.43096411,1.0
35,m601,Capomulin,Male,22,17,25,33.11875607,1,Capomulin,Male,22.0,17.0,45.0,28.43096411,1.0
36,m601,Capomulin,Male,22,17,30,31.75827491,1,Capomulin,Male,22.0,17.0,45.0,28.43096411,1.0
37,m601,Capomulin,Male,22,17,35,30.83435704,1,Capomulin,Male,22.0,17.0,45.0,28.43096411,1.0
38,m601,Capomulin,Male,22,17,40,31.378045299999997,1,Capomulin,Male,22.0,17.0,45.0,28.43096411,1.0
39,m601,Capomulin,Male,22,17,45,28.43096411,1,Capomulin,Male,22.0,17.0,45.0,28.43096411,1.0
40,g791,Ramicane,Male,11,16,0,45.0,0,Ramicane,Male,11.0,16.0,45.0,29.12847181,1.0
41,g791,Ramicane,Male,11,16,5,45.85153062,0,Ramicane,Male,11.0,16.0,45.0,29.12847181,1.0
42,g791,Ramicane,Male,11,16,10,40.17055848,0,Ramicane,Male,11.0,16.0,45.0,29.12847181,1.0
43,g791,Ramicane,Male,11,16,15,40.67812852,0,Ramicane,Male,11.0,16.0,45.0,29.12847181,1.0
44,g791,Ramicane,Male,11,16,20,41.211897,0,Ramicane,Male,11.0,16.0,45.0,29.12847181,1.0
45,g791,Ramicane,Male,11,16,25,35.56939935,1,Ramicane,Male,11.0,16.0,45.0,29.12847181,1.0
46,g791,Ramicane,Male,11,16,30,34.95258284,1,Ramicane,Male,11.0,16.0,45.0,29.12847181,1.0
47,g791,Ramicane,Male,11,16,35,30.96039194,1,Ramicane,Male,11.0,16.0,45.0,29.12847181,1.0
48,g791,Ramicane,Male,11,16,40,31.36940573,1,Ramicane,Male,11.0,16.0,45.0,29.12847181,1.0
49,g791,Ramicane,Male,11,16,45,29.12847181,1,Ramicane,Male,11.0,16.0,45.0,29.12847181,1.0
